SP|श्रीभगवान् ने कहा:
1|ऊर्ध्वमूल, अधःशाख वाले इस अव्यय अश्वत्थ (संसार-वृक्ष) को कहते हैं — जिसके पत्ते छन्द (वेद) हैं; जो उसे जानता है, वही वेदवित् है।
2|उसकी शाखाएँ गुणों से बढ़ी हुई, विषयरूपी कोपलों वाली नीचे-ऊपर फैली हैं; और मनुष्यलोक में कर्मानुबन्धी मूलें नीचे की ओर फैली हुई हैं।
3|इस (संसार-वृक्ष) का न रूप यहाँ दिखाई देता है, न अन्त, न आदि, न प्रतिष्ठा — दृढ़ वैराग्यरूपी शस्त्र से इस सुविरूढ़ मूल अश्वत्थ को काटकर।
4|फिर उस पद की खोज करनी चाहिए जिसमें गए हुए लोग फिर नहीं लौटते — और उसी आद्य पुरुष की शरण लेनी चाहिए जिससे यह पुराणी प्रवृत्ति प्रसृत हुई है।
5|जो निर्मान, निर्मोह, जितसङ्गदोष, अध्यात्म में नित्य, विनिवृत्तकाम, सुख-दुःख रूपी द्वन्द्वों से मुक्त और अमूढ़ हैं, वे उस अव्यय पद को प्राप्त होते हैं।
6|उस परम धाम को न सूर्य प्रकाशित करता है, न चन्द्रमा, न अग्नि — जहाँ जाने के बाद लोग नहीं लौटते, वही मेरा परम धाम है।
7|इस जीवलोक में मेरा ही सनातन अंश जीवभूत होकर मन सहित छहों इन्द्रियों को प्रकृति में स्थित करके (उन्हें) खींचता है।
8|हे ईश्वर! जब (जीव) शरीर को प्राप्त करता है और जब उसे छोड़ता है, तब इन इन्द्रियों को लेकर चलता है — जैसे वायु फूलों की गन्ध को (एक स्थान से) ग्रहण कर लेता है।
9|श्रोत्र, चक्षु, स्पर्शन, रसना, घ्राण और मन को अधिष्ठित करके यह (जीव) विषयों का सेवन करता है।
10|उत्क्रान्त (शरीर छोड़ते), स्थित या भोग करते हुए गुणों से युक्त इस (जीव) को मूढ़ लोग नहीं देखते — ज्ञानचक्षु वाले देखते हैं।
11|यत्न करते हुए योगी भी इस (जीव) को आत्मा में स्थित देखते हैं; यत्न करते हुए भी अकृतात्मा अचेतस् इसे नहीं देखते।
12|सूर्य में स्थित जो तेज सम्पूर्ण जगत् को प्रकाशित करता है, जो चन्द्रमा में है और जो अग्नि में है — उस तेज को मेरा ही तेज जानो।
13|मैं पृथ्वी में प्रवेश करके अपने ओज से भूतों को धारण करता हूँ और सोम (रस) बनकर सब औषधियों का पोषण करता हूँ।
14|मैं वैश्वानर (जठराग्नि) बनकर प्राणियों के देह में स्थित हूँ — प्राण और अपान से युक्त होकर चार प्रकार के अन्न को पचाता हूँ।
15|मैं सबके हृदय में स्थित हूँ — मुझसे ही स्मृति, ज्ञान और अपोहन (विस्मरण) होते हैं; सब वेदों से मैं ही वेद्य हूँ; मैं ही वेदान्त-कृत् और वेदवित् हूँ।
16|इस लोक में दो पुरुष हैं — क्षर और अक्षर; सब भूत क्षर हैं और कूटस्थ (आत्मा) अक्षर कहा जाता है।
17|उनसे भिन्न उत्तम पुरुष है, जो परमात्मा कहा गया है — जो तीनों लोकों में प्रवेश करके अव्यय ईश्वर उन्हें धारण करता है।
18|क्योंकि मैं क्षर से परे हूँ और अक्षर से भी उत्तम हूँ — इसलिए लोक और वेद में मैं पुरुषोत्तम कहा जाता हूँ।
19|हे भारत! जो असम्मूढ़ होकर मुझे इस प्रकार पुरुषोत्तम जानता है, वह सर्ववित् होकर सब भावों से मेरी भक्ति करता है।
20|हे निष्पाप! यह गुह्यतम शास्त्र मेरे द्वारा कहा गया — इसे बुद्धिमान् (पुरुष) जानकर कृतकृत्य हो जाता है, हे भारत!
