SP|श्रीभगवान् ने कहा:
1|हे पार्थ! मुझमें आसक्त मन वाला, मेरे आश्रित होकर योग का अभ्यास करता हुआ मुझे सम्पूर्ण रूप से कैसे जानेगा — उसे सुन।
2|हे अर्जुन! मैं तुझे ज्ञान सहित यह (तत्त्व) सम्पूर्ण रूप से कहूँगा — जिसे जानकर इस लोक में फिर कुछ भी जानने योग्य शेष नहीं रहता।
3|हजारों मनुष्यों में कोई एक सिद्धि के लिए यत्न करता है; यत्न करने वालों में भी कोई एक मुझे तत्त्वतः जानता है।
4|भूमि, जल, अग्नि, वायु, आकाश, मन, बुद्धि और अहङ्कार — यह मेरी आठ प्रकार की भिन्न प्रकृति है।
5|हे महाबाहो! यह अपरा प्रकृति है — इससे भिन्न मेरी उस परा प्रकृति को जानो, जो जीवरूप है और जिससे यह जगत् धारण किया जाता है।
6|सब भूत इन्हीं दोनों से उत्पन्न हैं — ऐसा समझ; सम्पूर्ण जगत् का मैं ही उत्पत्ति और प्रलय का कारण हूँ।
7|हे धनञ्जय! मुझसे परे और कुछ भी नहीं है — यह सब कुछ सूत्र में मणियों की भाँति मुझमें पिरोया हुआ है।
8|हे कौन्तेय! मैं जल का रस, चन्द्र-सूर्य का प्रकाश, सब वेदों में प्रणव (ॐ), आकाश में शब्द और पुरुषों में पौरुष हूँ।
9|मैं पृथ्वी की पुण्य गन्ध और अग्नि की तेजस्विता हूँ; सब प्राणियों में जीवन और तपस्वियों में तप हूँ।
10|हे पार्थ! मुझे सब भूतों का सनातन बीज जानो; मैं बुद्धिमानों की बुद्धि और तेजस्वियों का तेज हूँ।
11|हे भरतर्षभ! मैं काम-राग से रहित बलवानों का बल और प्राणियों में धर्म से अविरुद्ध काम हूँ।
12|जो भी सात्त्विक, राजस और तामस भाव हैं — वे सब मुझसे ही हैं, ऐसा जानो; पर मैं उनमें नहीं, वे मुझमें हैं।
13|इन तीनों गुणमय भावों से यह सारा जगत् मोहित है — इसलिए यह मुझे, इनसे परे अव्यय परमात्मा को नहीं जानता।
14|यह मेरी गुणमयी दैवी माया अत्यन्त दुस्तर है — जो मुझे ही शरण लेते हैं, वे इस माया को पार कर जाते हैं।
15|दुष्कर्मी, मूढ़, नराधम और माया से ज्ञान हरा हुआ आसुरी भाव वाले लोग मुझे नहीं भजते।
16|हे अर्जुन! चार प्रकार के सुकृती लोग मेरी भक्ति करते हैं — आर्त (दुःखी), जिज्ञासु, अर्थार्थी और ज्ञानी, हे भरतर्षभ!
17|उनमें नित्ययुक्त, एकनिष्ठ भक्ति वाला ज्ञानी श्रेष्ठ है — क्योंकि ज्ञानी को मैं अत्यन्त प्रिय हूँ और वह मुझे प्रिय है।
18|ये सब उदार हैं, पर ज्ञानी मेरा आत्मा ही है — यह मेरा मत है; युक्तात्मा होकर वह मुझ अनुत्तम गति को ही प्राप्त है।
19|अनेक जन्मों के अन्त में ज्ञानवान् पुरुष मुझे ही भजता है — "वासुदेव ही सब है" ऐसा जानने वाला वह महात्मा अत्यन्त दुर्लभ है।
20|नाना कामनाओं से ज्ञान हरा हुआ लोग अपनी प्रकृति से नियत होकर तरह-तरह के नियमों को धारण कर अन्य देवताओं को भजते हैं।
21|जो कोई भक्त जिस-जिस रूप की श्रद्धा से पूजा करना चाहता है, मैं उसकी उसी (रूप) में अचल श्रद्धा स्थिर करता हूँ।
22|वह उस श्रद्धा से युक्त होकर उस देवता की आराधना करता है और उससे अपनी कामनाओं को पाता है — वे मेरे द्वारा ही विहित हैं।
23|किन्तु अल्पबुद्धियों का वह फल अन्त वाला है — देवपूजक देवों को जाते हैं, मेरे भक्त मुझे ही आते हैं।
24|अबुद्धि लोग मुझे अव्यक्त से व्यक्त हुआ मानते हैं — वे मेरे परम, अव्यय और अनुत्तम भाव को नहीं जानते।
25|मैं योगमाया से आच्छादित होकर सबके प्रति प्रकाशित नहीं होता — यह मूढ़ लोक मुझ अज और अव्यय को नहीं जानता।
26|हे अर्जुन! मैं भूतों के अतीत, वर्तमान और भविष्य — सबको जानता हूँ; पर मुझे कोई नहीं जानता।
27|हे भारत! इच्छा-द्वेष से उत्पन्न द्वन्द्वमोह से सब प्राणी सृष्टि में मोह को प्राप्त होते हैं, हे परन्तप!
28|जिन पुण्यकर्मियों का पाप अन्त हो चुका है, वे द्वन्द्वमोह से मुक्त होकर दृढ़ व्रत से मेरी भक्ति करते हैं।
29|जो जरा-मरण से मुक्ति के लिए मेरा आश्रय लेकर यत्न करते हैं, वे उस ब्रह्म को, सम्पूर्ण अध्यात्म और समस्त कर्म को जान लेते हैं।
30|जो साधिभूत, साधिदैव और साधियज्ञ मुझे जानते हैं, वे प्रयाणकाल में भी युक्तचेत होकर मुझे जानते हैं।
