SP|श्रीभगवान् ने कहा:
1|अभय, सत्त्वसंशुद्धि, ज्ञानयोग में व्यवस्थिति, दान, दम, यज्ञ, स्वाध्याय, तप और आर्जव।
2|अहिंसा, सत्य, अक्रोध, त्याग, शान्ति, अपैशुन (चुगली न करना), भूतों पर दया, अलोलुप्त्व, मार्दव, ह्री (लज्जा) और अचापल्य।
3|तेज, क्षमा, धृति, शौच, अद्रोह और नातिमानिता — हे भारत! ये दैवी सम्पदा से युक्त पुरुष के लक्षण हैं।
4|हे पार्थ! दम्भ, दर्प, अभिमान, क्रोध, पारुष्य और अज्ञान — ये आसुरी सम्पदा से युक्त पुरुष के लक्षण हैं।
5|दैवी सम्पदा मोक्ष के लिए और आसुरी सम्पदा बन्धन के लिए मानी गई है — हे पाण्डव! तू शोक मत कर, तू दैवी सम्पदा से युक्त है।
6|हे पार्थ! इस लोक में भूतों की दो सृष्टियाँ हैं — दैवी और आसुरी; दैवी का विस्तार से वर्णन किया गया — अब आसुरी को सुन।
7|आसुरी प्रकृति वाले लोग न प्रवृत्ति जानते हैं, न निवृत्ति — उनमें न शौच है, न आचार, न सत्य।
8|वे कहते हैं कि यह जगत् असत्य, अप्रतिष्ठ, ईश्वर रहित और परस्पर संयोग से उत्पन्न है — केवल काम ही इसका कारण है।
9|इस दृष्टि को धारण करके नष्टात्मा, अल्पबुद्धि, उग्रकर्म वाले लोग जगत् के क्षय के लिए उत्पन्न होते हैं — ये अहितकारी हैं।
10|दुष्पूर काम का आश्रय लेकर, दम्भ-मान-मद से युक्त, मोह से असद् ग्राहों को पकड़कर वे अशुचि व्रतों में प्रवृत्त होते हैं।
11|प्रलय-पर्यन्त अपरिमेय चिन्ता का आश्रय लेकर, काम-भोग को ही परम मानकर, "यही सब है" — ऐसा निश्चय करने वाले।
12|आशा-पाश के सैकड़ों बन्धनों से बँधे, काम-क्रोध परायण, वे काम-भोग के लिए अन्याय से धन के सञ्चय की इच्छा करते हैं।
13|"यह आज मुझे मिला, यह मनोरथ मैं प्राप्त करूँगा, यह है और यह भी मेरा फिर धन होगा।"
14|"वह शत्रु मेरे द्वारा मारा गया और अन्यों को भी मारूँगा; मैं ईश्वर हूँ, मैं भोगी हूँ, मैं सिद्ध, बलवान् और सुखी हूँ।"
15|"मैं धनी और कुलीन हूँ — मेरे समान दूसरा कौन है? मैं यज्ञ करूँगा, दान दूँगा, मोद करूँगा" — ऐसे अज्ञान से मोहित वे लोग।
16|अनेक चिन्ताओं से विभ्रान्त, मोहजाल से आवृत, काम-भोगों में आसक्त होकर अशुचि नरक में गिरते हैं।
17|आत्म-प्रशंसा करने वाले, स्तब्ध, धन-मान के मद से युक्त वे दम्भ से, अविधिपूर्वक केवल नाममात्र के यज्ञ करते हैं।
18|अहङ्कार, बल, दर्प, काम और क्रोध का आश्रय लेकर, अपने और दूसरों के शरीरों में स्थित मुझसे द्वेष करने वाले अभ्यसूयक (ईर्ष्यालु) लोग।
19|उन द्वेष करने वाले, क्रूर, संसार में नराधम, अशुभ लोगों को मैं सदा आसुरी योनियों में ही डालता रहता हूँ।
20|हे कौन्तेय! आसुरी योनि को प्राप्त हुए मूढ़ लोग जन्म-जन्म में मुझे न पाकर उससे भी अधम गति को प्राप्त होते हैं।
21|यह नरक का त्रिविध द्वार है — काम, क्रोध और लोभ — जो आत्मा का नाश करने वाला है; इसलिए इन तीनों को त्याग दे।
22|हे कौन्तेय! इन तीनों अंधकार-द्वारों से मुक्त पुरुष अपना कल्याण करता है और फिर परम गति को प्राप्त होता है।
23|जो शास्त्र-विधि को छोड़कर काम के वश से वर्तता है, वह न सिद्धि पाता है, न सुख, न परम गति।
24|इसलिए कार्य-अकार्य की व्यवस्था में शास्त्र ही तेरा प्रमाण है — शास्त्र-विधान से कहे गए कर्म को जानकर ही तुझे यहाँ करना उचित है।
