SP|अर्जुन ने कहा:
1|जो भक्त सततयुक्त होकर आपकी उपासना करते हैं और जो अव्यक्त अक्षर की उपासना करते हैं — इन दोनों में कौन योगवित्तम (श्रेष्ठ) हैं?
SP|श्रीभगवान् ने कहा:
2|जो मन को मुझमें लगाकर, परम श्रद्धा से युक्त होकर नित्ययुक्त मेरी उपासना करते हैं, वे मेरे मत में युक्ततम हैं।
3|किन्तु जो अक्षर, अनिर्देश्य, अव्यक्त, सर्वत्रग, अचिन्त्य, कूटस्थ, अचल और ध्रुव (परमात्मा) की उपासना करते हैं।
4|वे इन्द्रियसमूह को सम्यक् नियन्त्रित करके, सबमें समबुद्धि होकर, सब भूतों के हित में रत होकर मुझे ही प्राप्त होते हैं।
5|किन्तु अव्यक्त में आसक्त चित्त वालों को अधिक क्लेश है — क्योंकि देहधारियों द्वारा अव्यक्त गति दुःख से प्राप्त होती है।
6|जो सब कर्मों को मुझमें समर्पित करके, मत्परायण होकर अनन्य योग से मेरा ध्यान करते हुए उपासना करते हैं।
7|हे पार्थ! मुझमें आवेशित चित्त वाले उनका मैं शीघ्र ही मृत्यु-संसार-सागर से उद्धार करने वाला होता हूँ।
8|मुझमें ही अपना मन लगा और बुद्धि को मुझमें निवेश कर — इसके बाद तू मुझमें ही निवास करेगा, इसमें संशय नहीं।
9|हे धनञ्जय! यदि तू चित्त को मुझमें स्थिर रूप से स्थापित नहीं कर सकता, तो अभ्यासयोग से मुझे प्राप्त करने का यत्न कर।
10|यदि अभ्यास में भी असमर्थ है, तो मत्कर्मपरायण हो — मेरे लिए कर्म करता हुआ भी तू सिद्धि को प्राप्त होगा।
11|यदि यह भी नहीं कर सकता, तो मद्योग का आश्रय लेकर यतात्मा होकर सब कर्मफलों का त्याग कर।
12|अभ्यास से ज्ञान श्रेयस्कर है, ज्ञान से ध्यान श्रेष्ठ है, ध्यान से कर्मफल-त्याग श्रेष्ठ है — त्याग से तत्काल शान्ति मिलती है।
13|जो सब भूतों का अद्वेष्टा, मैत्र, करुणामय, निर्मम, निरहङ्कार, सुख-दुःख में सम और क्षमाशील है।
14|सदा सन्तुष्ट, यतात्मा, दृढ़निश्चय, मुझमें अर्पित मन-बुद्धि वाला — वह मेरा भक्त मुझे प्रिय है।
15|जिससे लोक उद्विग्न नहीं होता और जो लोक से उद्विग्न नहीं होता, जो हर्ष, क्रोध, भय और उद्वेग से मुक्त है — वह मुझे प्रिय है।
16|जो अनपेक्ष, शुचि, दक्ष, उदासीन, गतव्यथ और सब आरम्भों का परित्यागी है — वह मेरा भक्त मुझे प्रिय है।
17|जो न हर्षित होता है, न द्वेष करता है, न शोक करता है, न कामना करता है, जो शुभ-अशुभ का त्यागी है और भक्तिमान् है — वह मुझे प्रिय है।
18|जो शत्रु-मित्र, मान-अपमान, शीत-उष्ण, सुख-दुःख में सम है और सङ्ग से रहित है।
19|जो निन्दा-स्तुति में तुल्य, मौनी, जो कुछ मिले उससे सन्तुष्ट, अनिकेत (घर से रहित) और स्थिरमति है — वह भक्तिमान् पुरुष मुझे प्रिय है।
20|जो श्रद्धावान्, मत्परम होकर इस धर्म्य अमृतरूप वचन का यथोक्त उपासन करते हैं, वे भक्त मुझे अत्यन्त प्रिय हैं।
