SP|अर्जुन ने कहा:
1|हे कृष्ण! आप संन्यास (कर्मों के त्याग) की प्रशंसा करते हैं और फिर कर्मयोग की भी — इन दोनों में जो श्रेष्ठ हो, वह एक निश्चयपूर्वक मुझे बताइए।
SP|श्रीभगवान् ने कहा:
2|संन्यास और कर्मयोग — दोनों ही परम कल्याण करने वाले हैं, किन्तु दोनों में कर्मसंन्यास से कर्मयोग अधिक श्रेष्ठ है।
3|जो न द्वेष करता है और न आकांक्षा रखता है, वह नित्य संन्यासी जानना चाहिए — हे महाबाहो! द्वन्द्वों से रहित होने से वह सुखपूर्वक बन्धन से मुक्त हो जाता है।
4|साङ्ख्य और योग को अलग-अलग केवल अज्ञानी कहते हैं, पण्डित नहीं — दोनों में से एक का भी सम्यक् आश्रय लेने पर दोनों का फल मिलता है।
5|साङ्ख्यों द्वारा प्राप्त पद को योगियों द्वारा भी प्राप्त किया जाता है — जो साङ्ख्य और योग को एक देखता है, वही सच्चा द्रष्टा है।
6|हे महाबाहो! योग (कर्मयोग) के बिना संन्यास दुःख को प्राप्त करने वाला है — योगयुक्त मुनि शीघ्र ही ब्रह्म को प्राप्त होता है।
7|कर्मयोग में युक्त, शुद्ध आत्मा वाला, विजितात्मा, जितेन्द्रिय और सब प्राणियों का आत्मा-रूप होकर कर्म करता हुआ भी लिप्त नहीं होता।
8|तत्त्ववेत्ता युक्त पुरुष "मैं कुछ भी नहीं करता" — ऐसा मानता है — देखते, सुनते, स्पर्श करते, सूँघते, खाते, चलते, सोते और श्वास लेते हुए भी।
9|बोलते, त्यागते, ग्रहण करते, आँख खोलते-मूँदते हुए भी वह यही धारण करता है — "इन्द्रियाँ विषयों में वर्तती हैं।"
10|जो कर्मों को ब्रह्म में अर्पण करके आसक्ति छोड़कर कर्म करता है, वह पाप से लिप्त नहीं होता — जैसे कमल का पत्ता जल से लिप्त नहीं होता।
11|योगी शरीर, मन, बुद्धि और केवल इन्द्रियों से आत्मशुद्धि के लिए आसक्ति छोड़कर कर्म करते हैं।
12|युक्त पुरुष कर्मफल का त्याग करके नैष्ठिकी शान्ति को प्राप्त करता है; अयुक्त पुरुष कामना के कारण फल में आसक्त होकर बन्धन में पड़ता है।
13|सब कर्मों को मन से संन्यास करके देही (सिद्ध पुरुष) नवद्वार वाले शरीररूपी नगर में सुखपूर्वक बैठता है — न स्वयं करता है, न करवाता है।
14|प्रभु (परमात्मा) न लोकों के कर्तृत्व की सृष्टि करता है, न कर्मों की, न कर्मफल के संयोग की — यह सब स्वभाव से ही प्रवृत्त होता है।
15|विभु (परमात्मा) न किसी का पाप लेता है, न पुण्य — ज्ञान अज्ञान से ढका हुआ है, इसलिए प्राणी मोहित होते हैं।
16|किन्तु जिनका वह अज्ञान ज्ञान से नष्ट हो गया है, उनका वह परम ज्ञान सूर्य के समान (आत्मा को) प्रकाशित करता है।
17|जिनकी बुद्धि उसमें है, आत्मा उसमें है, निष्ठा उसमें है और परायणता उसमें है — ऐसे ज्ञान से पापों को धो चुके लोग पुनरावृत्ति रहित गति को प्राप्त होते हैं।
18|विद्या और विनय से सम्पन्न ब्राह्मण में, गाय में, हाथी में, कुत्ते में और चाण्डाल में भी पण्डित लोग समान दर्शन रखते हैं।
19|जिनका मन समत्व में स्थित है, उन्होंने इसी लोक में संसार को जीत लिया है — ब्रह्म निर्दोष और सम है, इसलिए वे ब्रह्म में स्थित हैं।
20|प्रिय वस्तु पाकर न हर्षित होने वाला और अप्रिय पाकर न खिन्न होने वाला, स्थिरबुद्धि, असम्मूढ़ ब्रह्मवेत्ता ब्रह्म में ही स्थित रहता है।
21|बाह्य स्पर्शों में आसक्ति न रखने वाला आत्मा में जो सुख पाता है, वह ब्रह्मयोगयुक्त आत्मा अक्षय सुख को भोगता है।
22|हे कौन्तेय! इन्द्रियों के संस्पर्श से उत्पन्न जो भोग हैं, वे दुःख के ही कारण हैं — आदि-अन्त वाले हैं, बुद्धिमान उनमें रमण नहीं करता।
23|जो पुरुष शरीर की मुक्ति से पहले ही काम और क्रोध से उत्पन्न वेग को सहन कर सकता है, वही युक्त और सुखी पुरुष है।
24|जो अन्तर में सुखी, अन्तर में रमण करने वाला और अन्तर में ही ज्योतिर्मय है, वह योगी ब्रह्मभूत होकर ब्रह्म-निर्वाण को प्राप्त होता है।
25|पाप क्षीण कर चुके, द्वैत-संशय को काट चुके, संयत चित्त वाले और सब प्राणियों के हित में रत ऋषि ब्रह्म-निर्वाण को प्राप्त होते हैं।
26|काम-क्रोध से मुक्त, संयत चित्त वाले यति और आत्मज्ञानी पुरुषों के लिए सब ओर ब्रह्म-निर्वाण विद्यमान है।
27|बाह्य स्पर्शों को बाहर करके, दृष्टि को भौंहों के मध्य में स्थिर करके, नासिका के भीतर विचरने वाले प्राण और अपान को समान करके।
28|जो इन्द्रिय, मन और बुद्धि को वश में करने वाला, मोक्षपरायण, इच्छा-भय-क्रोध से रहित मुनि है, वह सदा मुक्त ही है।
29|यज्ञ और तप का भोक्ता, समस्त लोकों का महेश्वर, सब प्राणियों का सुहृद् — मुझे ऐसा जानकर (भक्त) शान्ति को प्राप्त करता है।
