SP|अर्जुन ने कहा:
1|हे केशव! मैं प्रकृति और पुरुष, क्षेत्र और क्षेत्रज्ञ तथा ज्ञान और ज्ञेय को जानना चाहता हूँ।
SP|श्रीभगवान् ने कहा:
2|हे कौन्तेय! यह शरीर क्षेत्र कहलाता है और जो इसे जानता है, उसे क्षेत्रज्ञ कहते हैं — ऐसा क्षेत्र-वेत्ता कहते हैं।
3|हे भारत! सब क्षेत्रों में मुझे भी क्षेत्रज्ञ जानो — क्षेत्र और क्षेत्रज्ञ का जो ज्ञान है, वही मेरे मत में ज्ञान है।
4|वह क्षेत्र क्या है, कैसा है, किस-किस विकार वाला है, किससे और कौन-सा है, तथा वह (क्षेत्रज्ञ) कौन है और किस प्रभाव वाला है — उसे संक्षेप में मुझसे सुन।
5|ऋषियों ने अनेक प्रकार से, विविध छन्दों से पृथक्-पृथक् और हेतुयुक्त निश्चित ब्रह्मसूत्र-पदों से भी इसका गान किया है।
6|महाभूत, अहङ्कार, बुद्धि, अव्यक्त, दस इन्द्रियाँ, एक (मन) और पाँच इन्द्रिय-विषय।
7|इच्छा, द्वेष, सुख, दुःख, सङ्घात, चेतना और धृति — यह विकारों सहित क्षेत्र संक्षेप में कहा गया।
8|अमानित्व (मान की इच्छा न होना), अदम्भित्व, अहिंसा, क्षान्ति, आर्जव, आचार्य की उपासना, शौच, स्थैर्य और आत्मविनिग्रह।
9|इन्द्रिय-विषयों में वैराग्य, अनहङ्कार, जन्म-मृत्यु-जरा-व्याधि के दुःख और दोषों का अनुदर्शन।
10|आसक्ति का अभाव, पुत्र-स्त्री-गृह आदि में अनभिष्वङ्ग (मोह न होना), इष्ट-अनिष्ट की प्राप्ति में नित्य समचित्तता।
11|मुझमें अनन्य योग से अव्यभिचारिणी भक्ति, एकान्त-देश में रहने की प्रवृत्ति और जनसमूह में अरुचि।
12|अध्यात्मज्ञान में नित्यता और तत्त्वज्ञान के अर्थ का दर्शन — यह ज्ञान कहा गया है; इससे अन्यथा जो है, वह अज्ञान है।
13|अब मैं ज्ञेय को कहूँगा, जिसे जानकर मनुष्य अमृत को भोगता है — वह अनादिमान् परम ब्रह्म है, जो न सत् कहा जाता है, न असत्।
14|जिसके सब ओर हाथ-पैर हैं, सब ओर नेत्र-शिर-मुख हैं, सब ओर कान हैं — वह लोक में सबको आवृत करके स्थित है।
15|सब इन्द्रिय-गुणों का प्रकाशक और सब इन्द्रियों से रहित, असक्त, सबका धारण करने वाला, निर्गुण और गुणों का भोक्ता।
16|भूतों के बाहर और भीतर, अचर और चर — दोनों में वह है; सूक्ष्म होने से अविज्ञेय, दूर स्थित और पास में भी वही है।
17|वह भूतों में अविभक्त और विभक्त-सा स्थित, भूतों का भर्ता, ग्रसने वाला और उत्पन्न करने वाला — ज्ञेय है।
18|वह ज्योतियों का भी ज्योति और तम से परे कहा जाता है; वह ज्ञान, ज्ञेय और ज्ञानगम्य है — सबके हृदय में स्थित है।
19|इस प्रकार क्षेत्र, ज्ञान और ज्ञेय संक्षेप में कहा गया — मेरा भक्त इसे जानकर मेरे भाव को प्राप्त होता है।
20|प्रकृति और पुरुष — दोनों को अनादि जानो; विकारों और गुणों को प्रकृति से उत्पन्न जानो।
21|कार्य-कारण और कर्तृत्व में हेतु प्रकृति कही जाती है; सुख-दुःख के भोक्तृत्व में हेतु पुरुष कहा जाता है।
22|पुरुष प्रकृति में स्थित होकर प्रकृति से उत्पन्न गुणों को भोगता है — सत्-असत् योनियों के जन्मों में उसका कारण गुणों का सङ्ग है।
23|इस देह में स्थित वह परम पुरुष उपद्रष्टा, अनुमन्ता, भर्ता, भोक्ता, महेश्वर और परमात्मा कहा गया है।
24|जो इस प्रकार पुरुष और प्रकृति को गुणों सहित जानता है, वह सब प्रकार से वर्तता हुआ भी फिर नहीं जन्मता।
25|कोई ध्यान से आत्मा द्वारा आत्मा को अपने ही भीतर देखते हैं; अन्य साङ्ख्ययोग से और अन्य कर्मयोग से।
26|अन्य लोग इसे न जानते हुए भी दूसरों से सुनकर उपासना करते हैं — वे भी श्रुतिपरायण होकर मृत्यु को पार कर जाते हैं।
27|हे भरतर्षभ! स्थावर-जङ्गम रूप जो भी सत्त्व उत्पन्न होता है, उसे क्षेत्र-क्षेत्रज्ञ के संयोग से जानो।
28|जो सब भूतों में सम स्थित, विनश्यमानों में अविनश्यन्त परमेश्वर को देखता है, वही सच्चा द्रष्टा है।
29|क्योंकि वह सर्वत्र समवस्थित ईश्वर को समान देखता है — वह आत्मा द्वारा आत्मा को नष्ट नहीं करता, इसलिए परम गति को प्राप्त होता है।
30|जो सब कर्मों को सर्वथा प्रकृति द्वारा किए जाते देखता है और आत्मा को अकर्ता देखता है, वही सच्चा द्रष्टा है।
31|जब पुरुष भूतों के पृथग्भाव को एक स्थान में देखता है और उसी से विस्तार देखता है, तब वह ब्रह्म को प्राप्त होता है।
32|हे कौन्तेय! अनादि और निर्गुण होने से यह परमात्मा अव्यय है — शरीर में स्थित होकर भी न करता है, न लिप्त होता है।
33|जैसे सर्वव्यापी आकाश सूक्ष्मता से लिप्त नहीं होता, वैसे ही देह में सर्वत्र स्थित आत्मा लिप्त नहीं होता।
34|हे भारत! जैसे एक सूर्य इस सम्पूर्ण लोक को प्रकाशित करता है, वैसे ही क्षेत्री (आत्मा) सम्पूर्ण क्षेत्र को प्रकाशित करता है।
35|जो क्षेत्र-क्षेत्रज्ञ का यह अन्तर और भूत-प्रकृति से मोक्ष को ज्ञानचक्षु से जानते हैं, वे परम पद को प्राप्त होते हैं।
