SP|अर्जुन ने कहा:
1|हे पुरुषोत्तम! वह ब्रह्म क्या है, अध्यात्म क्या है, कर्म क्या है, अधिभूत किसे कहा गया है और अधिदैव किसे कहते हैं?
2|हे मधुसूदन! इस देह में अधियज्ञ कौन है और कैसे है? तथा नियतात्मा पुरुष प्रयाणकाल में आपको कैसे जानते हैं?
SP|श्रीभगवान् ने कहा:
3|परम अक्षर ब्रह्म है; स्वभाव (जीवात्मा) अध्यात्म कहलाता है; भूतों की उत्पत्ति करने वाला विसर्ग कर्म कहा जाता है।
4|अधिभूत नाशवान् भाव है और पुरुष (विराट्) अधिदैवत है; हे देहधारियों में श्रेष्ठ! इस देह में मैं ही अधियज्ञ हूँ।
5|हे भारत! जो अन्तकाल में मेरा स्मरण करता हुआ देह त्यागकर प्रयाण करता है, वह मेरे भाव को प्राप्त होता है — इसमें संशय नहीं।
6|हे कौन्तेय! जिस-जिस भाव का स्मरण करता हुआ अन्त में शरीर त्यागता है, वह उसी-उसी भाव को प्राप्त होता है, क्योंकि वह सदा उसी भाव से भावित रहता है।
7|इसलिए सब कालों में मेरा अनुस्मरण करता हुआ युद्ध कर — मन और बुद्धि को मुझमें अर्पित कर; निःसंशय तू मुझे ही प्राप्त होगा।
8|अभ्यासयोग से युक्त, अन्यत्र न जाने वाले चित्त से परम दिव्य पुरुष का चिन्तन करता हुआ (योगी) उसे ही प्राप्त होता है, हे पार्थ!
9|जो सबका जानने वाला, पुराण, सबका शासक, सूक्ष्म से सूक्ष्म, सबका धारक, अचिन्त्य रूप, आदित्य के समान वर्ण वाला और तम से परे पुरुष का स्मरण करता है।
10|प्रयाणकाल में अचल मन से, भक्ति और योगबल से युक्त होकर, भौंहों के मध्य में प्राण को सम्यक् स्थापित करके वह उस परम दिव्य पुरुष को प्राप्त होता है।
11|जिसे वेदवेत्ता अक्षर कहते हैं, जिसमें वीतराग यति प्रवेश करते हैं, जिसकी इच्छा से ब्रह्मचर्य का आचरण करते हैं — उस पद को मैं संक्षेप में तुझसे कहूँगा।
12|सब द्वारों (इन्द्रियों) को संयमित करके, मन को हृदय में रोककर, प्राण को मस्तक में स्थापित करके योगधारणा में स्थित होकर।
13|हे भारत! एक अक्षर ॐ (ओम्) रूप ब्रह्म का उच्चारण करता हुआ, मेरा स्मरण करता हुआ जो देह त्यागकर प्रयाण करता है, वह परम गति को प्राप्त होता है।
14|हे पार्थ! जो अनन्यचित्त होकर सदा मेरा नित्य स्मरण करता है, उस नित्ययुक्त योगी के लिए मैं सुलभ हूँ।
15|मुझे प्राप्त करके वे महात्मा पुनः दुःख के आश्रय, अनित्य इस जन्म को नहीं पाते — वे परम संसिद्धि को प्राप्त हो चुके हैं।
16|हे अर्जुन! ब्रह्मलोक तक के सब लोक पुनरावर्ती हैं; किन्तु हे कौन्तेय! मुझे प्राप्त करके फिर जन्म नहीं होता।
17|जो ब्रह्मा का एक दिन हजार युगों तक और रात्रि हजार युगों तक जानते हैं, वे अहोरात्र के जानने वाले हैं।
18|दिन के आगमन पर सब व्यक्तियाँ अव्यक्त से प्रकट होती हैं और रात्रि के आगमन पर उसी अव्यक्त में लीन हो जाती हैं।
19|हे पार्थ! यह भूतसमूह बार-बार उत्पन्न होकर रात्रि के आगमन पर अवश ही लीन होता है और दिन के आगमन पर प्रकट होता है।
20|उस अव्यक्त से परे अन्य सनातन अव्यक्त भाव है — जो सब भूतों के नष्ट होने पर भी नष्ट नहीं होता।
21|वह अव्यक्त अक्षर कहा गया है और उसे परम गति कहते हैं; जिसे प्राप्त करके लोग नहीं लौटते — वह मेरा परम धाम है।
22|हे पार्थ! वह परम पुरुष अनन्य भक्ति से प्राप्त होता है — जिसके अन्तर्गत सब भूत हैं और जिससे यह सब व्याप्त है।
23|हे भरतर्षभ! जिस काल में प्रयाण करने वाले योगी अनावृत्ति (न लौटना) और आवृत्ति (लौटना) को प्राप्त होते हैं — वह काल मैं तुझसे कहता हूँ।
24|अग्नि, ज्योति, दिन, शुक्ल पक्ष और उत्तरायण के छह मास — उस काल में प्रयाण करने वाले ब्रह्मवेत्ता ब्रह्म को प्राप्त होते हैं।
25|धूम, रात्रि, कृष्ण पक्ष और दक्षिणायन के छह मास — उसमें प्रयाण करने वाला योगी चान्द्रमस ज्योति को प्राप्त होकर लौट आता है।
26|शुक्ल और कृष्ण — ये दोनों ही जगत् की शाश्वत गतियाँ मानी गई हैं; एक से अनावृत्ति मिलती है, दूसरे से पुनः आवृत्ति होती है।
27|हे पार्थ! इन दोनों गतियों को जानकर कोई भी योगी मोहित नहीं होता — इसलिए सब कालों में योगयुक्त हो, हे अर्जुन!
28|वेदों, यज्ञों, तपों और दानों में जो पुण्यफल बताया गया है, उस सबको यह जानकर योगी उससे परे हो जाता है और आद्य परम स्थान को प्राप्त होता है।
